N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
44;01\01\023;;;archeologia miscellanea;AA.VV.;Lucania Archeologica  III anno vol 1;;;GA Lucano;Muro Lucano;1.984;;;;;Un monumento funerario d’età Giulio-claudia. Negli archivi e nei libri... scoperte archeologiche. Ricerca topografica nella zona intorno a S.Giovanni di Ruoti. Cultura contadina: il lupo mannaro. E i monachicchi. Attività della soprintendenza archeologica.;Pubblicazioni G.A.I.;
45;01\01\024;;;archeologia miscellanea;AA.VV.;Lucania Archeologica  III anno vol 2;;;GA Lucano;Muro Lucano;1.984;;;;;situazione prospettive dei beni culturali a Muro Lucano e nell’area del cratere;Pubblicazioni G.A.I.;
46;01\01\025;;;archeologia miscellanea;AA.VV.;Lucania Archeologica  IV anno vol. 1;;;GA Lucano;Muro Lucano;1.985;;;;;Restauri e ritrovamenti nella cattedrale di Matera. L’alimentazione nell’antichità in Basilicata. Le abitudini alimentari Lucane nella tradizione (sacra) del Mosto Cotto. Attività della soprintendenza archeologica. V secolo i Lucani al momento dello scontro con le città Greche. Incunaboli e cinquecentine nella biblioteca conventuale di Vietri sul mare.;Pubblicazioni G.A.I.;
47;01\01\026;;;archeologia miscellanea;AA.VV.;Lucania Archeologica  V anno vol.  1-2-3-4;;;GA Lucano;Muro Lucano;1.986;;;;;Allevamento trasumanza tratturi in Basilicata dall’ antichità all’ Età contemporanea. Una raccolta di antichità nel secolo XVIII a Grumento. Guerrieri armi ed armature nella ceramica lucana. Il mondo militare nella ceramica campana. Un contributo alla conoscenza di Paestum Un nuovo epitaffio dall’agro di Venosa. Le chiese di S. Maria Maggiore e di S. Vito in Maratea il convento di S. Francesco D’assisi in pietrapertosa PZ Tardo neoclassicismo ed eclettismo nel palazzo Galasso di S. Angelo le fratte. Gli angeli sono tornati a volare la festa della madonna nera di Giano. Attività della Soprintendenza arch nell’’86;Pubblicazioni G.A.I.;
48;01\01\027;;;archeologia miscellanea;AA.VV.;GA vercellese. 1972-82 dieci anni di attività;;;GAV;Vercelli;1.983;;;;3 copie;;Pubblicazioni G.A.I.;
49;01\01\028;;;Archeologia miscellanee;AA.VV.;Lucania Archeologica anno III vol.1;;;GA Lucano;Muro Lucano;1.984;40;;;;Un monumento funerario di età giulio-claudia . Ricerche topografiche della zona intorno a S.Giovanni di Ruoti.Il lupomannaro.;;
362;01\01\029\n.11;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.11;Archeologica del Piemonte;;;Torino;1.993;;;;estratto;;;
363;01\01\029\n.12;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.12;Archeologica del Piemonte;;;Torino;1.994;;;;;"SOMMARIO

CONTRIBUTI

MARINA GIARETTI-LIVIO MANO, Tracce di un insediamento del- 
l'età del Bronzo nel territorio di S.Martino di Busca (CN). Revi- 
sione critica di reperti preistorici emersi dai sondaggi del 19 5 5   p.         9

FILIPPO MARIA GAMBARI-MARICA VENTURINO GAMBARI, Le produ- 
zioni metallurgiche piemontesi nella protostoria del Piemon- 
te: la tarda età del Bronzo ...........   »        23

RENATO RIDELLA, Alcune note su un elmo preromano atipico da

Cuneo ............... i..   »       43

LILIANA MERCANDO, Ancora un appunto per il Museo ài Antichi- 
tà: alcuni ""sassi"" del Museo Bellino ài Busca . . . . .   »        53

GIOVANNI MENNELLA, La falsa dedica a Intercidona e un culto

topico dì Marte ...............        65

FEDORA FILIPPI, Alcune coppe figurate in ceramica invetriata del- 
la Liguria antica ..............   »        73

Appendice I - Analyses physico-chimiques des céramiques a 
glacure piombifere J'Alba Pompeia (M.PICON-A.DESBAT) .   »      100

Appendice II - Ceramiche invetriate con decorazione a 
stampo (G.PREDIERI-S.FRECOLA) .........   »       104

AURORA CAGNANA, Un contesto ceramico ài età imperiale dagli

scavi in Palazzo Calissano di Alba (CN)     .....   »       107

EMANUELA ZANDA-M.CRISTINA PREACCO ANCONA-MAURO SOMA,

Nuclei di necropoli di Forum Fulvii ed Hasta . . . .   »      127

FEDORA FILIPPI-RAIMONDO PROSPERI, Nuovi dati su Forum Vibii

Caburrum ................   »      193

ALBERTO CROSETTO, Indagini archeologìche sul medioevo astigia- 
no. 2-3.1 resti scultorei altomedioevali di S.Secondo e la torre 
occidentale ""in domo episcopali"". ........   »       211

GABRIELLA PANTÒ, S.Michele di Cavaglià: una chiesa ritrovata    »      243 
Appendice - Frammenti pittorici ad affresco (S.SALINES) .   »      252

NOTIZIARIO per gli anni 1992-1993 .........      255

RECENSIONE ............... »    361

TAVOLE ..................    365";;
364;01\01\029\n.13;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.13;Archeologica del Piemonte;;;Torino;1.995;;;;;"SOMMARIO

CONTRIBUTI

AURELIANO BERTONE-GlORGIO GAJ-STEFANIA VECELLI, Cascina Pa-

rìsio (Suso - Torino). Il problema degli insediamenti d'altura nel 
bacino della Dora Riparia     ..........   p.

ADA GABUCCI, Marchi di fabbrica da Tortona. Terra sigillata itali- 
ca, nord-italica e sud-gallica ...........   »

FEDORA FILIPPI, Una coppa di sigillata africana figurata con il 
mito di Eracle e Kyknos da una tomba tardoromana di Alba 
Pompeia .................   »

LUISA BRECCIAROLI TABORELLI, Un insediamento temporaneo della 
tarda antichità nella grotta ""dota darà"" (Monfenera, Valse-
sia)   ..................   »

Appendice 1 - Testimonianze della fase insediativa tardoroma- 
na nel territorio di Borgosesia (L. BRECCIAROLI TABORELLI)   »

Appendice 2 - Analisi dei materiali ceramici e in pietra oliare 
(G. PREDIERI - S. SFRECOLA)  ..........   »

EGLE MICHELETTO-ANGELA GUGLIELMETTI-LAURA VASCHETTI-
VALERIA CALABRESE-SiLA MOTELLA DE CARLO, II Castelvecchìo

di Peveragno (CN). Rapporto preliminare di scavo (1993-94)   »

GABRIELLA PANTÒ, Contro fra Dolcino: lo scavo delle postazioni ve- 
scovili del biellese    .............   »

Appendice 1 - ""Scoprir dall'alto oggetti assai lontani e mirar 
li monti e i piani"". Vista dalla Rovella (G. PANTÒ) ...   »

Appendice 2 - Analisi faunistica e tafonomìca dei reperti in ma- 
teria dura animale del sito di Monte Rovella (BI) (A. AIMAR)   »

Appendice 3 - Osservazioni geo logiche (A. PEROTTO)   . .   »

ALBERTO CROSETTO, Indagini archeologiche nel medioevo astigiano. 
4. La cattedrale di S. Maria   ..........   »

Appendice - La sepoltura medievale della cattedrale di Asti. Ana- 
lisi antropologica e paleopatologica dell'inumato (E.BEDINI) .      »

MARINA RUBINICH, La collezione archeologica dell'Istituto Tecni- 
co ""G. Baruffi"" di Mandovi.  ..........   »

NOTIZIARIO 1994 ..............  »

TAVOLE ................. »";;
772;01\01\029\n.14;;;Archeologia miscellanea;AA.VV.;Quaderni della sovrintendenza Archeologica del Piemonte;n. 14;;;Torino;1.996;268;;Cerrato Mario;;;;
576;01\01\029\n.15;;;Archeologia miscellanee;AA.VV.;Quaderni della Soprintendenza n. 15;Archeologica del Piemonte;;;Torino;1.998;260;;;fotocopie;"SOMMARIO

CONTRIBUTI

MICHELA RUFFA, La necropoli protostorica di Dorbié Superiore-

Castelletto Ticino .................    p.     11

LUISA BRECCIAIOLI TABORELLI, La villa suburbana di Eporedia

(Ivrea) ......................    ""     41

FEDERIGO BARELLO, La villa suburbana di Eporedia (Ivrea).

Monete dagli scavi 1984-1986 . ............    ""     93

ELENA BEDINI, La villa suburbana di Eporedia (Ivrea). Analisi

dei reperti faunistici (scavi 1984-1986). ..........     ""     97

CHKISTIANE DELPLACE, La villa suburbana di Eporedia (Ivrea).

La decorazione dipinta.................    ""    109

G. SCALVA, La centuriazione di Liburna: considerazioni ài orga- 
nizzazione territoriale delle valli Scrivia e Barbera in età 
romana. .................  . .    ""    149

SONIA GOBBATO, Archeologia postmedievale a Torino: il Castello

del Valentino ....................    ""    167

LUCIANO RE-MARCO SUBBRIZIO, La porta del Po di Torino -

Architettura di D. Guarino Guarini C.R.. .......    ""    189

NOTIZIARIO 
Provincia di Alessandria

Casteinuovo Scrivia, Centro Storico. Insediamenti e reperti pre-proto-
stonci (MARICA VENTURINO GAMBARI-CRISTINA SERAFINO-
BARBARA ZAMAGNI). ..................

Acqui ""[erme, Corso Cavour 63. Struttura muraria di epoca romana. 
(ALBERTO CROSETTO). .................

Acqui Terme, Corso Roma. Chiesa di San Francesco (ALBERTO 
CROSETTO) ..................

Provincia di Asti

Asti, piazza Cattedrale (Associazione Artigiani). Strutture di epoca 
medievale (ALBERTO CROSETTO) .............
Asti, frazione Viatosto. Chiesa della B.V. Ausiliatrice (ALBERTO 
CROSETTO) ....................

Monte-magno. Chiesa di Santa Maria della Cava (ALBERTO CROSETTO) 
Penango. Chiesa dei SS. Comano ed Ippolito (ALBERTO CROSETTO) . 
Vinchio. Confraternita della SS'. Trinità (ALBERTO CROSETTO) .

212

214

215 
215

Provincia di Biella 
Biella. Indagini nel centro storico (GABKCELLA PANTÒ)

217

Provincia di Cuneo

Roaschia, Grotta del Bandito. Coltello a codolo in bromo della prima

età del Terrò (FILIPPO M. GAMBARI-MARICA VENTURINO

GAMBARI). .................

Costigliele Saluzzo, località Cimitero, insediamento di età romana

(GIULIA MOLLI BOFFA). ...............

Alba. indagini in centro storico (EGLE MICHELETTO-MARIO

CAVALETTO). .......................

Monta d'Alba, fraz. S. Vito. Resti murari e medievali {cappella di S.

Martino?) (EGLE MICHELETTO-PATRIZIA LEVATI) ......

Santo Stefano Kelbo. Chiesa dei SS. Giacomo e Cristo/oro. Strutture

abitative di età medievale (EGLE MiCHELETTO-NiCOLETTA

CERRATO). .......................

220

221

222

227

228

Provincia di Novara 
Castelletto Ticino, loc. Bosco del Monte. Tomba golasecchiana

(FILIPPO M. GAMBARI-MAURO SQUARZANTI-ROBERTO BARONI) 
Cozzano, chiesa di S. Lorenzo. Ritrovamento di stele preromana 
(FILIPPO MARIA GAMBARI). .............

230

231

Provincia di Torino

Vestignè, fraz. Tino. Ritrovamento di un'area monumentale con sta-
tue-stele eneolitiche (FILIPPO M. GAMBARI) ........

Torino. Indagini in centro storico (LUISELLA PEJRANI BARICCO-

NICOLETTA CERRATO-MARCO SUBBRIZIO-FEDERICO BARELLO) . .

Chiomante. Fraz. Ramats. Indagine su sito protostorico con frequenta- 
zione di età romana (SANDKO CARANZANO-PIETRO ROSSI-
AURELIANO BERTONE). .................

Carema, fraz. Airale. Localizzazione di un insediamento d'età romana 
(LUISA BRECCIAROU TABORELU) ...........

234 
234

243

244

Scarmagno, Cascina Cascinotto (Strada Comunale S. Eusebio).

Insediamento rustico con attività metallurgica (LUISA 
BRECCIAROLI TABORELLI-MARCO CIMA). ..........

Settimo Torinese. Vicolo della Torre (Palazzo Municipale) (ALBERTO 
CROSETTO) .....................

Piobesi, Chiesa di San Giovanni ai campi. Tonte battesimale paleocri- 
stiano e strutture murarie altomedievali (EGLE MICHELETTO) . .

Beinasco, Chiesa della Confraternita di";;
280;01\01\029\n.3;;;Archeologia miscellanee;AA.VV.;Quaderni della Soprintendenza,3;Archeologica del Piemonte;;;Torino;1.984;;;;estratto;;;
357;01\01\029\n.3;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.3;Archeologica del Piemonte;;;Torino;1.984;;;;;"SOMMARIO

CONTRIBUTI

LUIGI FOZZATI - AURELIANO BERTONE, II popolamento preistorico del- 
la Valle di Suso. I - Problemi e prospettive ......   pag.   1

Appendice 1 - Elaborazione al computer di alcuni dati di scavo

dal sito di San Pancrazio di Villardora (L. Mano)    »    21

Appendice 2 - Esame della fauna del sito di San Valeriana di Bor-

gone (R. Bertone - P. Colombatto) .   .   .   .    »   21

Appendice 3 - Industria litica scheggiata da Villarfocchiardo

(L. Mano)   .........    »   25

Appendice 4 - Analisi palinologica dei sedimenti del sito di Vil- 
larfocchiardo (P. Arzello Rolfo)   .   .   .   .     »    24

SILVANA PINOCCHI, Acqui Terme (AL) : Contributo alla conoscenza del- 
la città romana. Scavi nella periferia urbana   .....    »    31

Appendice - Elementi antropologici e paleopatologici sugli sche- 
letri rinvenuti nelle tombe (T. Doro Garetto - E. Ful-
cheri - G. Vergano) ........    »    48

FEDORA FILIPPI, Indagine archeologica sulla pieve di San Dalmazzo in

Scantaldico di Racconigi (CN)   .   .   .   .   ...   .    »   51

Appendice - II territorio di Racconigi in età romana: nuovi dati

e considerazioni (F. Filippi) ......     »    60

EGLE MICHELETTO, Indagine archeologica nel priorato di San Pietro di

Cavallermaggiore (CN) .   .   .   .   .   .   .   .   .   .    »   67

EGLE MICHELETTO, La chiesa di San Domenico di Alba: note sullo scavo    »   77 
Appendice 1 - Le monete (A. Rovelli)   .   .   .   .   .   .    »   93

Appendice 2-1 materiali ceramici (N. Cerrato - C. Morrà) .   .    »    95

MAURO CORTELAZZO, La ceramica graffito del castello di Montaldo di 
Mandovi: un servizio da tavola in ceramica fine della prima metà 
del XIV secolo ............    »   107
GABRIELLA PANTÒ, Indagine archeologica al « Palazzo Dugentesco v>,

antico ospedale di Sant'Andrea in Vercelli. Il palazzo e lo scavo   pag. 131

Appendice 1 - Manufatti di uso domestico dai documenti di ar- 
chivio (G. Pantò) ........    »   178

Appendice 2 • Coltello con manico in legno: note sul restauro

(I.A. Rapinesi)   ........    »   183

LAURA CARLI, Le terracotte architettoniche .   .   .   .   .   .    »   191

ALESSIA ROVELLI, Le monete   .   .   .   .   .   .   .   .    »  197

RENATO NISBET, I macroresti carbonizzati (II-XV sec.) ...    »   201

FRANCESCO D'ERPICO - GIACOMO GIACOBINI - PHILIPPE VILLET- 
TE, Studio dei resti faunistici ........    »  205

LORENZO VARETTO • MICHELE PORTIGLIATTI-BARBOS - CARLO

TORRE, Studio anatomico e paleopatologico su resti schele- 
trici umani ............    »   217

MARIA CRISTINA GALLO ORSI, J documenti di archivio ...    »  223 
NOTIZIARIO per l'anno 1983   .........    »  245

ATTIVITÀ DI RESTAURO

L'attività di restauro nel biennio 1982-84 (F. Filippi) ...     »   297

Restauro di manufatti metallici da tombe protostoriche (F.M. Gam-
bari - G. Bertolotto - L. Ganduglia) .......    »   298

La revisione dei buccheri delle collezioni etrusche del Museo di 
Antichità di Torino (G. Molli Boffa - I.A. Rapinesi) ....    »   303

Restauro di materiale vitreo di età romana del Museo di Antichità 
di Torino (I.A. Rapinosi) .   .   .   .   ...   .   .   .    »   310

Restauro di un complesso di materiali metallici di epoca romana 
provenienti da Industria (F. Caillaud) .......    »   315

Interventi di restauro su manufatti lapidei del Museo di Antichità 
di Torino (F. Filippi - F. Lunghetti - C. Meli - L. Rocchi) .   .   .    »   320

RECENSIONI

N. VALENZA MELE, Museo Nazionale Archeologico di Napoli - Catalogo

delle lucerne in bronzo (L. MERCANDO) .   .   .   .   .   .   .    »  325

P.F. PANAZZA, Le lucerne romane della Valcamonica (Collana di storia

camuna, studi e testi, 3) (L. MERCANDO) .   .   .   .   .   .    »  329

TAVOLE ..............  I-CXIII";;
358;01\01\029\n.3;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n. 3;"Archeologica del Piemonte
notiziario";;;Torino;1.984;;;;estratto;;;
359;01\01\029\n.3;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.3;"Archeologica del Piemonte
il popolamento preistorico della valle di Susa.problemi e prospettive";;;Torino;1.984;;;;estratto;;;
360;01\01\029\n.7;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.7;Archeologica del Piemonte;;;Torino;1.987;;;;;"CONTRIBUTI

ALBERTO MOTTURA, Industrie paleo litìche dai depositi alluvio- 
nali astigiani: primo inquadramento cronologico e culturale .  p.

GIOVANNA BAGNASCO GIANNI, Contributo allo studio sulla pe-
riodizzazione della Cultura di Golasecca: il momento di tran- 
sizione tra le fasi I C e II A .   .   .   .   .   .   .   »

GlOVANNELLA CRESCI MARRONE - LUISELLA PEJRANI BARIC-

co, Reimpiego di un'epigrafe romana nell'Abbazia di Frut-
tuaria .............

NOTIZIARIO per Fanno 1986 ........

TAVOLE ..........…";;
361;01\01\029\n.8;;;Archeologia miscellanee;AA.VV;Quaderni della Soprintendenza n.8;Archeologica del Piemonte;;;Torino;1.988;;;;;"SOMMARIO

CONTRIBUTI

PIERO DAMARCO, Lo scheletro di Stenella Gray 1866, delfinide

fossile del Pliocene astigiano dei dintorni di Settime (Asti)      p.

EMANUELA ZANDA - MIRELLA ALESSIO - PATRIZIA LEVATI, Due

insediamenti rustici di età romana nel basso Monferrato     »

GIOVANNI MENNELLA, Iscrizioni pedemontane da rivedere    .   » 
ADRIANO LA REGINA, Ivrea bizantina    .........   »

MARIA MADDALENA NEGRO PONZI MANCINI, Un vetro poli- 
cromo romano dalla necropoli di Testona   ......   »

ALBERTO CROSETTO, L'antica ""Ecclesia Sancti Stephani de Pa- 
terno"" {Scavi 1980-1982)    . . ..........   »

FEDORA FILIPPI - CRISTINA MORRÀ, Sondaggi archeologici nel 
Palazzo dell'Accademia delle Scienze di Torino, sede del Mu- 
seo Egizio     ..................   »

GABRIELLA PANTÒ - CRISTINA MORRÀ, Campione stratigrafico 
nel centro storico di Moncalieri   ..........   »

Appendice 1. 
Interpretazione geologica di strati naturali (G. Tornasi)   .   »

Appendice 2. 
Analisi dei resti faunistici (A. Aimar)     .......   »

NOTIZIARIO per l'anno 1987    ...........   »

RECENSIONI   .................. »

TAVOLE  .................... »";;
